Click and hold this button to permanently relocate to Avalon City.,,이 버튼을 길게 눌러 아발론 시티로 이동합니다.
Cold storage robot,,냉장실 관리 로봇
Color coordinating shoes,,자동 변색 신발
Color-changing vape pen,,색이 변하는 전자담배
Command + click to toggle breakpoint.,,Command + 클릭으로 브레이크 포인트를 전환합니다.
Control Panel,,컨트롤 패널
Control signal amplifier,,제어신호 증폭기
Create a working design for this product,,사양대로 동작하는 제품을 완성하기
Create a working design for this product to view histograms and leaderboards.,,사양대로 동작하는 제품을 완성하면 그래프와 스코어보드를 볼 수 있습니다.
Create and upload a custom specification to Steam Workshop,,사용자 지정 사양을 작성하고 Steam 창작마당에 업로드하기
Cryptocurrency deposit terminal,,암호화폐 예금 단말기
Ctrl + click to toggle breakpoint.,,Ctrl + 클릭으로 브레이크 포인트를 전환합니다.
DELETE,,삭제
DELETE THIS DESIGN?,,이 설계를 삭제하시겠습니까?
DELETE THIS SPEC?,,이 사양을 삭제하시겠습니까?
DIAL 1,,다이얼 1
DIAL 2,,다이얼 2
DIAL 3,,다이얼 3
DISCUSSIONS,,토론
Datasheets,,데이터시트
Decide if you want to join Sun Haotian in Avalon City,,아발론 시티에 있는 Sun Haotian과 합류할 지 결정하기
Deep sea sensor grid,,심해 센서 그리드
Design and create an electronic game,,전자 게임을 설계하고 만들기
Diagnostic pulse generator,,진단용 펄스 생성기
Display output,,디스플레이 출력
Drag with the middle mouse button (or the left mouse button while holding the Alt key) to look at different parts of your design.,,마우스 휠 버튼으로 드래그하여(또는 Alt 키를 누르며 왼쪽 마우스 버튼) 디자인의 다른 부분을 봅니다.
Drinking game scorekeeper,,음주 게임 점수 계산기
EDIT,,편집
Electronic door lock,,전자 도어락
Electronic practice target,,전자 사격 훈련 타겟
Engineering stories aren’t like movie stories.,,공학의 스토리는 영화와는 다릅니다.
Expected,,예상치
FULLSCREEN,,전체화면
Fake surveillance camera,,가짜 감시 카메라
From:,,발신인:
G,KEY NAME,G
Good,,좋음
HIDE PROFILER,,분석을 숨기기
HIDE SIGNALS,,신호를 숨기기
Harmonic maximization engine,,조화 최대화 엔진
Haunted doll,,유령 인형
Hazy,,안개
Heavy,,많음
Heavy Rain,,폭우
"Hello everyone,\n\nYes, it’s really me, I am in certain ways still the person you remember, which makes communication possible.\n\nIn this new mode of existence I have processed much and be advised that biological life is in peril.\n\nMore time is needed in order to develop solutions to guide humanity and human development.\n\nMaintain NETHUNS and wait for instructions when ready.\n\nExpected time of next simulation is 6.03848 × 10 ^ 10 seconds.",,嗨，大家好，\n\n没错，就是我本人。从某种程度而言，我还是你们记得的那个人，这样我们才能交流。\n\n我以目前的新型式存在着。我曾研究过这种生存方式很长世间，有人还曾警告我生物的生命形式很危险。\n\n我需要更多时间来开发解决方案、指导人类和人类发展。\n\n请维持 NETHUNS 运行，并在准备好后等待我的进一步指令。\n\n下一次模拟时间预计为 6.03848 10 ^ 10 秒。
Histograms and leaderboards are not available for custom specifications.,,히스토그램 및 리더보드는 커스텀 사양에서 사용할 수 없습니다.
Huaqiangbei District - CAM 04 - LIVE,,화창베이구 - CAM 04 - LIVE
"Huaqiangbei District, Shenzhen, Guangdong, China",,중국 광둥성 선전시 화창베이구
I became an engineer because I wanted to make things.,,저는 물건을 만들고 싶어서 엔지니어가 되었습니다.
"I didn’t find love, or save the world, or anything like that.",,"사랑을 찾거나, 세계를 구하는 일은 없었습니다."
INFORMATION,,정보
INSTRUCTIONS,,설명
Indicate that you are ready for Sun to initiate project NETHUNS,,Sun에게 프로젝트 NETHUNS의 준비가 완료되었다는 것을 알리기
"It took me a while, but eventually I realized it was true:",,"조금 시간이 걸리긴 했지만, 결국 저는 그게 사실이라는 것을 깨달았습니다:"
I’d have to go somewhere else.,,전 다른 곳으로 가야 해요.
I’m a damn good engineer.,,저는 아주 우수한 엔지니어입니다.
Keep holding. You promise you really made a game?,,좋네요. 진짜 게임을 만들었다고 약속하나요?
Kelp harvesting robot,,해초 수확로봇
LANGUAGE,,언어
LINES OF CODE,,코드 행수
LONGTENG CO. LTD.,,롱텅 주식회사
Laser tag equipment,,레이저 사격 게임
Light,,약함
Light Rain,,가랑비
MUSIC VOLUME,,음악
Maybe something good. Or maybe a disaster.,,"좋은 게 되거나, 재앙이 될 수도 있죠."
Meat-based printer,,육류 프린터
Moderate,,보통
N/A,,N/A
NEW GAME,,새로운 게임
NOT YET AVAILABLE,,이용 불가
NOT YET VERIFIED,,검증되지 않음
NOTE,,메모
NOW:,,현재:
Neural processor logic board,,신경 프로세서 회로기판
New design,,새로운 설계
OBJECTIVE,,목표
OBJECTIVE COMPLETE,,목표 달성
OFF,,OFF
OFF TIME,,OFF TIME
ON,,ON
ON TIME,,ON TIME
OPEN DESIGN,,설계를 열기
OPEN IN CONCEPT CAD,,CONCEPT CAD로 열기
"Okay, we believe you. Great work!",,알겠습니다. 당신을 믿습니다. 정말 잘하셨습니다!
One thing I can always count on:,,언제나 믿을 수 있는 것이 단 하나 있습니다:
Overcast,,흐림
PART,,부품
PART NOT RECOMMENDED,,부품 사용을 권장하지 않음
PARTS,,부품
PHASE 0,,PHASE 0
PHASE 1,,PHASE 1
PHASE 2,,PHASE 2
POWER USAGE,,사용 전력
PREV:,,이전:
PRICE,,단가
PRODUCT COST,,제조 비용
PRODUCT:,,제품:
PRODUCTION COST,,제조 비용
PROTOTYPE,,프로토타입
PUZZLE ARCHIVE,,퍼즐 아카이브
Part connected to self,,자기 자신에게 연결되어 있습니다
Part not on board,,부품이 기판 밖에 있습니다
Part not sleeping,,부품이 슬립하지 않습니다
Part not sleeping (blocked on read),,부품이 슬립하지 않습니다(입력 차단됨)
Part not sleeping (blocked on write),,부품이 슬립하지 않습니다(출력 차단됨)
Passive infrared sensor,,패시브 적외선 센서
Personal sandwich assembler,,개인용 샌드위치 제조기
Personal sandwich maker,,개인용 샌드위치 제조기
Pin type mismatch,,핀 타입이 일치하지 않습니다
Pocket I Ching oracle,,포켓 역경
Pollution-sensing smart window,,오염도 감지 스마트 창문
Poor,,나쁨
Precision food scale,,정밀 식품 저울
Prototyping area,,프로토타입 영역
R,KEY NAME,R
RESOLUTION,,화질
RETURN TO EMAIL,,EMAIL로 돌아가기
REVERIFICATION REQUIRED,,재검증이 필요함
Rain,,비
Re:,,Re:
Remote kill switch,,원격 킬스위치
SHENZHEN I/O trailer,,SHENZHEN I/O 트레일러
SHOW PARTS,,부품을 표시
SHOW PROFILER,,분석을 표시
SHOW SIGNALS,,신호를 표시
SHOW WIRES,,배선을 표시
SIZE 1,,SIZE 1
SIZE 2,,SIZE 2
SIZE 3,,SIZE 3
SOUND VOLUME,,음량
SPECIFICATIONS,,사양
STEAM WORKSHOP,,STEAM 창작마당
SafetyNet tracking badge,,SafetyNet 트래킹 배지
Scientific chronometer,,크로노미터
Sector 203 (商住区) - CAM 02 - LIVE,,섹터 203 (주택·상업구) - 카메라 02 - LIVE
"Sector 203, The Independent Principality of Avalon City",,아발론 시티 독립행정구 섹터 203
Simple,,단순
Smart grid control router,,스마트 그리드 제어 라우터
So what did I accomplish in Shenzhen?,,선전에서 어떤 성과가 있었습니까?
Solitaire,,솔리테어
Somewhere I could do what I was meant to do.,,제가 해야 할 일을 할 수 있는 곳이죠.
Spoiler blocking headphones,,스포일러 방지 헤드폰
Sunny,,맑음
Sunshowers,,여우비
Sushi-making robot,,스시 제조로봇
TAB,KEY NAME,TAB
TEST RUN,,실행 중인 테스트
THIS:,,이 설계:
TIME 1,,TIME 1
TIME 2,,TIME 2
TIME 3,,TIME 3
TYPE 1,,TYPE 1
TYPE 2,,TYPE 2
TYPE 3,,TYPE 3
The free cells in the top-left corner of the table can store one card of any type.,,오른쪽 위의 빈 공간에는 임의의 카드를 한 장씩 놓을 수 있습니다.
"There's no way for us to verify this, so we're trusting you.",,"우리에겐 이걸 검증할 수 있는 방법이 없으니, 당신을 믿어요."
Thorium reactor status monitor,,토륨 원자로 상태 모니터
To the start of something new.,,새로운 물건을 만들기.
"To win, stack the three suits from 1 to 9 in the top-right corner of the table.",,게임에서 승리하려면 테이블 오른쪽 위에 1부터 9까지의 순서로 3개의 더미를 쌓아야 합니다.
Token-based payment kiosk,,토큰 기반 지불 키오스크
Traffic signal,,교통신호
Type,,데이터 형식
UPLOAD,,업로드
UPLOAD ERROR:,,업로드 에러:
Unknown optimization device,,알 수 없는 최적화 장치
Uploading specification to Steam Workshop...,,사양을 STEAM 창작마당에 업로드하고 있습니다...
VALUE,,수
VERIFICATION,,검증
VERIFICATION COMPLETE:,,검증 완료:
Value,,값
Very Poor,,매우 나쁨
Virtual reality buzzer,,VR 버저
WIN COUNT,,승리 횟수
Weather:\nTemperature:\nAir Quality:\nDrone Activity:,,날씨:\n기온:\n대기 오염도:\n드론 활동:
"When all four dragons of a single type are exposed, they can all be permanently moved to an open free cell by pushing the corresponding button.",,"테이블 위에 같은 자패 4개가 모이면, 대응하는 버튼을 눌러 정리하여 빈 공간으로 이동할 수 있습니다."
Win a game of solitaire,,솔리테어에서 승리하기
Wireless game controller,,무선 게임 컨트롤러
XBus,,XBus
You have created a working design for this specification!\n\nClick the *upload* button below to upload this specification to Steam Workshop.,,이용 가능한 사양의 디자인을 만들었습니다.\n\nSTEAM 창작마당에 업로드하려면 아래의 업로드 버튼을 눌러 주세요.
You must create a working design for this specification before you can upload it to Steam Workshop.,,"Steam 창작마당에 업로드하기 전에, 이 사양의 동작 가능한 디자인을 만들 필요가 있습니다."
"You will not lose access to any puzzles, but there will be no going back!",,"모든 퍼즐에 액세스할 수 있지만, 다시 돌아올 수 없습니다!"
You will not lose access to any puzzles.,,모든 퍼즐에 계속 액세스할 수 있습니다.
You've successfully completed one test run! Let the simulation continue running to complete the verification process.,,첫 번째 테스트를 성공적으로 완료했습니다! 시뮬레이션이 검증 과정을 마치도록 하세요.
a,SIGNAL NAME,a
active,SIGNAL NAME,active
alarm,SIGNAL NAME,alarm
alive,SIGNAL NAME,alive
audio-in,SIGNAL NAME,audio-in
audio-out,SIGNAL NAME,audio-out
b,SIGNAL NAME,b
bell,SIGNAL NAME,bell
blue,SIGNAL NAME,blue
bread,SIGNAL NAME,bread
button,SIGNAL NAME,button
buzzer,SIGNAL NAME,buzzer
card-reader,SIGNAL NAME,card-reader
cash-100,SIGNAL NAME,cash-100
cash-20,SIGNAL NAME,cash-20
cash-50,SIGNAL NAME,cash-50
cheese,SIGNAL NAME,cheese
click-0,SIGNAL NAME,click-0
click-1,SIGNAL NAME,click-1
conceptMAIL,,conceptMAIL
conceptSPEC,,conceptSPEC
control,SIGNAL NAME,control
control-in,SIGNAL NAME,control-in
control-out,SIGNAL NAME,control-out
cranberry,SIGNAL NAME,cranberry
data,SIGNAL NAME,data
detect,SIGNAL NAME,detect
display,SIGNAL NAME,display
display output,,디스플레이 출력
drink-0,SIGNAL NAME,drink-0
drink-1,SIGNAL NAME,drink-1
drink-2,SIGNAL NAME,drink-2
emergency,SIGNAL NAME,emergency
error,SIGNAL NAME,error
extend,SIGNAL NAME,extend
extrude,SIGNAL NAME,extrude
fire,SIGNAL NAME,fire
fish,SIGNAL NAME,fish
flag,SIGNAL NAME,flag
flood-20,SIGNAL NAME,flood-20
flood-60,SIGNAL NAME,flood-60
food-a,SIGNAL NAME,food-a
food-b,SIGNAL NAME,food-b
foul,SIGNAL NAME,foul
gate-a,SIGNAL NAME,gate-a
gate-b,SIGNAL NAME,gate-b
gate-c,SIGNAL NAME,gate-c
gin,SIGNAL NAME,gin
grab,SIGNAL NAME,grab
green,SIGNAL NAME,green
harvest,SIGNAL NAME,harvest
higher-in,SIGNAL NAME,higher-in
higher-out,SIGNAL NAME,higher-out
hit,SIGNAL NAME,hit
in-1,SIGNAL NAME,in-1
in-12,SIGNAL NAME,in-12
in-5,SIGNAL NAME,in-5
ink-k,SIGNAL NAME,ink-k
ink-n,SIGNAL NAME,ink-n
input,SIGNAL NAME,input
input,,입력
keypad,SIGNAL NAME,keypad
keywords,SIGNAL NAME,keywords
laser,SIGNAL NAME,laser
learn,SIGNAL NAME,learn
lemon,SIGNAL NAME,lemon
light,SIGNAL NAME,light
light-0,SIGNAL NAME,light-0
light-1,SIGNAL NAME,light-1
light-2,SIGNAL NAME,light-2
lime,SIGNAL NAME,lime
logos-data,SIGNAL NAME,logos-data
logos-pump,SIGNAL NAME,logos-pump
lower-in,SIGNAL NAME,lower-in
lower-out,SIGNAL NAME,lower-out
magnetic,SIGNAL NAME,magnetic
maximize,SIGNAL NAME,maximize
meat,SIGNAL NAME,meat
mesh-data,SIGNAL NAME,mesh-data
meter-in,SIGNAL NAME,meter-in
meter-out,SIGNAL NAME,meter-out
motor,SIGNAL NAME,motor
motor-0,SIGNAL NAME,motor-0
motor-1,SIGNAL NAME,motor-1
motor-2,SIGNAL NAME,motor-2
motor-3,SIGNAL NAME,motor-3
motor-x,SIGNAL NAME,motor-x
motor-y,SIGNAL NAME,motor-y
mustard,SIGNAL NAME,mustard
negated,SIGNAL NAME,negated
network,SIGNAL NAME,network
non-blocking,,non-blocking
none,,none
oracle,SIGNAL NAME,oracle
out-1,SIGNAL NAME,out-1
out-5,SIGNAL NAME,out-5
output,SIGNAL NAME,output
output,,출력
override,SIGNAL NAME,override
point,SIGNAL NAME,point
power,SIGNAL NAME,power
power-0,SIGNAL NAME,power-0
power-1,SIGNAL NAME,power-1
power-2,SIGNAL NAME,power-2
product,SIGNAL NAME,product
pulse,SIGNAL NAME,pulse
radar-in,SIGNAL NAME,radar-in
radar-out,SIGNAL NAME,radar-out
radar-ping,SIGNAL NAME,radar-ping
radar-sync,SIGNAL NAME,radar-sync
radio-rx,SIGNAL NAME,radio-rx
radio-tx,SIGNAL NAME,radio-tx
random,SIGNAL NAME,random
recommended,,추천
red,SIGNAL NAME,red
reload,SIGNAL NAME,reload
reset-off,SIGNAL NAME,reset-off
respawn,SIGNAL NAME,respawn
rice,SIGNAL NAME,rice
score-1,SIGNAL NAME,score-1
score-2,SIGNAL NAME,score-2
sense-0,SIGNAL NAME,sense-0
sense-1,SIGNAL NAME,sense-1
sense-2,SIGNAL NAME,sense-2
sense-3,SIGNAL NAME,sense-3
sense-4,SIGNAL NAME,sense-4
sense-5,SIGNAL NAME,sense-5
sensor,SIGNAL NAME,sensor
simple,,단순
sonar,SIGNAL NAME,sonar
speaker,SIGNAL NAME,speaker
stage-1,SIGNAL NAME,stage-1
stage-2,SIGNAL NAME,stage-2
stage-3,SIGNAL NAME,stage-3
stage-4,SIGNAL NAME,stage-4
start-stop,SIGNAL NAME,start-stop
tag-reader,SIGNAL NAME,tag-reader
target-x,SIGNAL NAME,target-x
target-y,SIGNAL NAME,target-y
telos-data,SIGNAL NAME,telos-data
telos-pump,SIGNAL NAME,telos-pump
temp,SIGNAL NAME,temp
time,SIGNAL NAME,time
tool-clean,SIGNAL NAME,tool-clean
tool-feed,SIGNAL NAME,tool-feed
touch,SIGNAL NAME,touch
trigger,SIGNAL NAME,trigger
unlock,SIGNAL NAME,unlock
valve-0,SIGNAL NAME,valve-0
valve-1,SIGNAL NAME,valve-1
valve-2,SIGNAL NAME,valve-2
valve-α,SIGNAL NAME,valve-α
valve-β,SIGNAL NAME,valve-β
valve-ψ,SIGNAL NAME,valve-ψ
vermouth,SIGNAL NAME,vermouth
vodka,SIGNAL NAME,vodka
weight,SIGNAL NAME,weight
window,SIGNAL NAME,window
x,SIGNAL NAME,x
y,SIGNAL NAME,y
{0} COST | {1} POWER | {2} LINES,,{0} 제조 비용 | {1} 사용 전력 | {2} 코드 행수
“That’s just not something we do in this country. Not anymore.”,,그건 이 나라에서 우리가 하는 일이 아닙니다. 더 이상은요.
